"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1600000US0955990","Norwalk city, Connecticut","91381","69",
"1600000US0973000","Stamford city, Connecticut","136197","45",
"1600000US0980000","Waterbury city, Connecticut","115009","36",
"1600000US1077580","Wilmington city, Delaware","71568","20",
"1600000US1150000","Washington city, District of Columbia","671803","*****",
"1600000US1200410","Alafaya CDP, Florida","91249","8612",
"1600000US1207300","Boca Raton city, Florida","98997","51",
"1600000US1207875","Boynton Beach city, Florida","80866","35",
"1600000US1208150","Brandon CDP, Florida","126628","10875",
"1600000US1210275","Cape Coral city, Florida","216984","43",
"1600000US1212875","Clearwater city, Florida","117010","64",
"1600000US1214400","Coral Springs city, Florida","133365","38",
"1600000US1216475","Davie town, Florida","106488","85",
"1600000US1216525","Daytona Beach city, Florida","77957","26",
"1600000US1216725","Deerfield Beach city, Florida","86781","41",
"1600000US1217100","Delray Beach city, Florida","67035","33",
"1600000US1217200","Deltona city, Florida","97285","62",
"1600000US1217935","Doral city, Florida","76999","61",
"1600000US1224000","Fort Lauderdale city, Florida","183156","51",
"1600000US1224125","Fort Myers city, Florida","95935","48",
"1600000US1224581","Four Corners CDP, Florida","77430","9717",
"1600000US1225175","Gainesville city, Florida","145212","26",
"1600000US1230000","Hialeah city, Florida","220274","67",
"1600000US1232000","Hollywood city, Florida","152662","52",
"1600000US1232275","Homestead city, Florida","81559","31",
"1600000US1235000","Jacksonville city, Florida","971315","24",
"1600000US1236100","Kendall CDP, Florida","80912","9293",
"1600000US1236950","Kissimmee city, Florida","80009","33",
"1600000US1238250","Lakeland city, Florida","120044","87",
"1600000US1239425","Largo city, Florida","82474","60",
"1600000US1239550","Lauderhill city, Florida","73637","27",
"1600000US1239925","Lehigh Acres CDP, Florida","136910","9525",
"1600000US1243975","Melbourne city, Florida","86439","30",
"1600000US1245000","Miami city, Florida","449484","117",
"1600000US1245025","Miami Beach city, Florida","80027","38",
"1600000US1245060","Miami Gardens city, Florida","110491","38",
"1600000US1245975","Miramar city, Florida","137208","74",
"1600000US1249675","North Port city, Florida","85102","27",
"1600000US1250750","Ocala city, Florida","65498","69",
"1600000US1253000","Orlando city, Florida","316086","50",
"1600000US1254000","Palm Bay city, Florida","129246","51",
"1600000US1254200","Palm Coast city, Florida","98411","19",
"1600000US1254350","Palm Harbor CDP, Florida","68005","6955",
"1600000US1255775","Pembroke Pines city, Florida","169875","40",
"1600000US1256825","Pine Hills CDP, Florida","72291","9292",
"1600000US1257425","Plantation city, Florida","96046","29",
"1600000US1257900","Poinciana CDP, Florida","75778","9222",
"1600000US1258050","Pompano Beach city, Florida","112308","41",
"1600000US1258350","Port Charlotte CDP, Florida","69625","4768",
"1600000US1258715","Port St. Lucie city, Florida","231804","52",
"1600000US1260950","Riverview CDP, Florida","114454","13552",
"1600000US1263000","St. Petersburg city, Florida","261245","53",
"1600000US1268350","Spring Hill CDP, Florida","125603","6139",
"1600000US1269700","Sunrise city, Florida","96291","59",
"1600000US1270600","Tallahassee city, Florida","201728","37",
"1600000US1270675","Tamarac city, Florida","71915","29",
"1600000US1271000","Tampa city, Florida","398160","62",
"1600000US1271625","The Villages CDP, Florida","78517","3405",
"1600000US1272145","Town 'n' Country CDP, Florida","87521","9741",
"1600000US1275875","Wesley Chapel CDP, Florida","81390","8066",
"1600000US1276582","Weston city, Florida","67676","27",
"1600000US1276600","West Palm Beach city, Florida","120922","43",
"1600000US1301052","Albany city, Georgia","67922","2547",
"1600000US1301696","Alpharetta city, Georgia","67276","46",
"1600000US1303440","Athens-Clarke County unified government (balance), Georgia","127981","843",
"1600000US1304000","Atlanta city, Georgia","499121","48",
"1600000US1304204","Augusta-Richmond County consolidated government (balance), Georgia","202596","1494",
"1600000US1319000","Columbus city, Georgia","202616","*****",
"1600000US1342425","Johns Creek city, Georgia","82458","42",
"1600000US1349008","Macon-Bibb County, Georgia","156197","*****",
"1600000US1367284","Roswell city, Georgia","92945","37",
"1600000US1368516","Sandy Springs city, Georgia","107767","29",
"1600000US1369000","Savannah city, Georgia","147987","59",
"1600000US1372122","South Fulton city, Georgia","111151","31",
"1600000US1380508","Warner Robins city, Georgia","81833","215",
"1600000US1571550","Urban Honolulu CDP, Hawaii","343437","66",
"1600000US1608830","Boise City city, Idaho","236632","44",
"1600000US1612250","Caldwell city, Idaho","65925","34",
"1600000US1639700","Idaho Falls city, Idaho","67718","23",
"1600000US1652120","Meridian city, Idaho","129730","33",
"1600000US1656260","Nampa city, Idaho","110932","65",
"1600000US1702154","Arlington Heights village, Illinois","74207","2759",
"1600000US1703012","Aurora city, Illinois","182336","5858",
"1600000US1706613","Bloomington city, Illinois","78874","38",
"1600000US1707133","Bolingbrook village, Illinois","75444","3389",
"1600000US1712385","Champaign city, Illinois","89245","28",
"1600000US1714000","Chicago city, Illinois","2665064","84",
"1600000US1714351","Cicero town, Illinois","81916","26",
"1600000US1718823","Decatur city, Illinois","70396","3531",
"1600000US1723074","Elgin city, Illinois","109634","6176",
"1600000US1724582","Evanston city, Illinois","75538","33",
"1600000US1738570","Joliet city, Illinois","147696","5807",
"1600000US1751622","Naperville city, Illinois","148508","1396",
"1600000US1757225","Palatine village, Illinois","65428","29",
"1600000US1759000","Peoria city, Illinois","109221","2430",
"1600000US1765000","Rockford city, Illinois","145835","2156",
"1600000US1768003","Schaumburg village, Illinois","78285","3270",
"1600000US1770122","Skokie village, Illinois","65503","38",
"1600000US1772000","Springfield city, Illinois","113331","1094",
"1600000US1779293","Waukegan city, Illinois","86472","4860",
"1600000US1805860","Bloomington city, Indiana","77358","3321",
"1600000US1810342","Carmel city, Indiana","101286","26",
"1600000US1822000","Evansville city, Indiana","118521","3328",
"1600000US1823278","Fishers city, Indiana","102152","2747",
"1600000US1825000","Fort Wayne city, Indiana","267436","5167",
"1600000US1827000","Gary city, Indiana","67742","3361",
"1600000US1831000","Hammond city, Indiana","76562","50",
"1600000US1836003","Indianapolis city (balance), Indiana","876564","6078",
"1600000US1840788","Lafayette city, Indiana","72326","3624",
"1600000US1851876","Muncie city, Indiana","65160","1218",
"1600000US1854180","Noblesville city, Indiana","74262","4281",
"1600000US1871000","South Bend city, Indiana","105984","3230",
"1600000US1901855","Ames city, Iowa","66950","24",
"1600000US1902305","Ankeny city, Iowa","72219","27",
"1600000US1912000","Cedar Rapids city, Iowa","136438","38",
"1600000US1919000","Davenport city, Iowa","100491","26",
"1600000US1921000","Des Moines city, Iowa","210936","162",
"1600000US1938595","Iowa City city, Iowa","75231","26",
"1600000US1973335","Sioux City city, Iowa","83215","3148",
"1600000US1982425","Waterloo city, Iowa","66555","28",
"1600000US1983910","West Des Moines city, Iowa","73965","3580",
"1600000US2036000","Kansas City city, Kansas","152561","2715",
"1600000US2038900","Lawrence city, Kansas","95784","35",
"1600000US2052575","Olathe city, Kansas","145597","68",
"1600000US2053775","Overland Park city, Kansas","197747","80",
"1600000US2064500","Shawnee city, Kansas","69220","76",
"1600000US2071000","Topeka city, Kansas","125464","55",
"1600000US2079000","Wichita city, Kansas","396205","66",
"1600000US2108902","Bowling Green city, Kentucky","74929","24",
"1600000US2146027","Lexington-Fayette urban county, Kentucky","320347","*****",
"1600000US2148006","Louisville/Jefferson County metro government (balance), Kentucky","624450","63",
"1600000US2205000","Baton Rouge city, Louisiana","221451","36",
"1600000US2239475","Kenner city, Louisiana","63991","53",
"1600000US2240735","Lafayette city, Louisiana","121367","79",
"1600000US2241155","Lake Charles city, Louisiana","79106","29",
"1600000US2250115","Metairie CDP, Louisiana","144729","8368",
"1600000US2255000","New Orleans city, Louisiana","369749","*****",
"1600000US2270000","Shreveport city, Louisiana","179551","1416",
"1600000US2360545","Portland city, Maine","68420","22",
"1600000US2404000","Baltimore city, Maryland","569931","*****",
"1600000US2407125","Bethesda CDP, Maryland","68522","5244",
"1600000US2419125","Columbia CDP, Maryland","101734","6621",
"1600000US2423975","Dundalk CDP, Maryland","66537","7883",
"1600000US2426000","Ellicott City CDP, Maryland","73239","5373",
"1600000US2430325","Frederick city, Maryland","82169","34",
"1600000US2431175","Gaithersburg city, Maryland","68952","31",
"1600000US2432025","Germantown CDP, Maryland","93203","8165",
"1600000US2432650","Glen Burnie CDP, Maryland","71182","6923",
"1600000US2467675","Rockville city, Maryland","66915","45",
"1600000US2472450","Silver Spring CDP, Maryland","75313","6580",
"1600000US2481175","Waldorf CDP, Maryland","84642","6219",
"1600000US2507000","Boston city, Massachusetts","649768","3289",
"1600000US2509000","Brockton city, Massachusetts","104833","41",
"1600000US2511000","Cambridge city, Massachusetts","118489","32",
"1600000US2523000","Fall River city, Massachusetts","93689","32",
"1600000US2524960","Framingham city, Massachusetts","70947","62",
"1600000US2529405","Haverhill city, Massachusetts","67151","26",
"1600000US2534550","Lawrence city, Massachusetts","87952","28",
